300165,130
300166,14.01
300167,131
300168,3.46
300169,132
300170,57.54
300171,133
300172,8.43
300173,134
300174,15.14
300175,135
300176,15.29
300177,136
300178,10.97
300179,137
300180,10.86
300181,138
300182,53.60
300183,139
300184,25.40
300185,140
300187,18.14
300188,141
300189,3.96
300190,142
300191,21.32
300192,143
300193,12.28
300194,144
300195,5.21
300196,145
300197,20.13
300198,146
300199,5.48
300200,147
300201,20.71
300202,148
300203,4.49
300204,149
300205,7.07
300206,150
300207,6.91
300208,151
300209,7.82
300210,152
300211,5.90
300212,153
300213,6.20
300214,154
300215,5.82
300217,155
300218,8.40
300219,156
300220,23.18
300221,157
300222,10.05
300223,158
300224,4.77
300225,159
300226,4.76
300227,160
300228,6.12
300229,161
300230,13.69
300231,162
300232,6.10
300233,163
300234,25.35
300235,164
300236,11.63
300237,165
300238,10.69
300239,166
300240,18.50
300241,167
300242,7.46
300243,168
300244,7.59
300245,169
300246,18.78
300247,170
300248,7.17
300249,171
300250,8.50
300251,172
300252,11.54
300253,173
300254,6.83
300255,174
300256,8.11
300257,175
300258,7.95
300259,176
300260,7.80
300261,177
300262,6.52
300263,178
300264,20.42
300265,179
300266,6.87
300267,180
300268,5.05
300269,181
300270,7.72
300271,182
300272,18.97
300273,183
300274,7.51
300275,184
300276,9.25
300277,185
300278,19.26
300279,186
300280,21.77
300281,187
300282,8.96
300283,188
300284,6.15
300285,189
300286,8.88
300287,190
300288,15.12
300289,191
300290,4.25
300291,192
300292,5.62
300293,193
300294,8.55
300295,194
300296,15.20
300297,195
300298,4.51
300299,196
300300,14.66
300301,197
300302,16.23
300303,198
300304,11.45
300305,199
300306,12.48
300307,200
300308,20.26
300309,201
300310,29.10
300311,202
300312,9.92
300313,203
300314,14.94
300315,204
300316,5.64
300317,205
300318,7.87
300319,206
300320,36.90
300321,207
300322,9.09
300323,208
300324,10.23
300325,209
300326,8.60
300327,210
300328,4.39
300329,211
300330,13.61
300331,212
300332,10.69
300333,213
300334,30.14
300335,214
300336,6.46
300337,215
300338,12.99
300339,216
300340,83.26
300341,217
300342,10.64
300343,218
300344,12.55
300345,219
300346,70.20
300347,220
300348,10.91
300349,221
300350,7.90
300351,222
300352,11.08
300353,223
300354,6.35
300355,224
300356,11.03
300357,225
300358,10.41
300359,226
300360,28.10
300362,227
300363,8.28
300364,228
300365,17.20
300366,229
300367,54.18
300368,230
300369,3.76
300370,231
300371,23.93
300373,232
300374,6.68
300375,233
300376,7.19
300377,234
300378,7.73
300379,235
300380,7.28
300381,236
300382,12.40
300383,237
300384,41.78
300385,238
300386,11.83
300387,239
300388,37.43
300389,240
300390,3.71
300391,241
300392,15.80
300393,242
300394,7.42
300395,243
300396,14.37
300397,244
300398,15.44
300399,245
300400,11.78
300401,246
300402,20.26
300403,247
300404,8.79
300405,248
300406,7.49
300407,249
300408,8.33
300409,250
300410,17.24
300411,251
300412,17.37
300413,252
300414,5.77
300415,253
300416,21.80
300417,254
300418,7.71
300419,255
300420,5.29
300421,256
300422,9.93
300423,257
300424,5.39
300425,258
300426,11.00
300427,259
300428,4.08
300429,260
300430,4.97
300431,261
300432,12.68
300433,262
300434,5.45
300435,263
300436,8.09
300437,264
300438,25.01
300439,265
300440,5.64
300441,266
300442,7.97
300443,267
300444,28.01
300445,268
300446,14.79
300447,269
300448,5.73
300449,270
300450,13.28
300451,271
300452,6.15
300453,272
300454,6.34
300455,273
300456,51.49
300457,274
300458,7.31
300459,275
300460,6.64
300461,276
300462,6.65
300463,277
300464,8.81
300465,278
300466,38.63
300467,279
300468,15.50
300469,280
300470,5.78
300471,281
300472,13.25
300473,282
300474,7.33
300475,283
300476,8.33
300477,284
300478,7.00
300479,285
300480,5.41
300481,286
300482,26.93
300483,287
300484,37.56
300485,288
300486,15.35
300487,289
300488,8.66
300489,290
300490,5.44
300491,291
300492,32.65
300493,292
300494,9.01
300495,293
300496,9.08
300497,294
300498,0.00
300499,295
300500,16.91
300501,296
300502,7.07
300503,297
300504,5.71
300505,298
300506,10.77
300507,299
300508,11.63
300509,300
300510,7.31
300511,301
300512,52.85
300513,302
300514,4.43
300515,303
300516,6.46
300517,304
300518,8.43
300519,305
300520,6.86
300521,306
300522,0.00
300523,307
300525,19.47
300526,308
300527,7.70
300528,309
300529,32.15
300530,310
300531,6.58
300532,311
300533,11.24
300534,312
300535,10.96
300536,313
300537,6.64
300538,314
300539,20.67
300540,315
300541,16.78
300542,316
300543,11.77
300545,317
300546,7.16
300547,318
300548,3.44
300549,319
300550,21.87
300551,320
300552,33.61
300553,321
300554,11.40
300555,322
300556,8.77
300557,323
300558,12.74
300559,324
300560,30.73
300561,325
300562,5.41
300563,326
300564,11.09
300565,327
300566,9.18
300567,328
300568,6.10
300569,329
300570,5.06
300571,330
300572,7.19
300573,331
300575,8.78
300576,332
300577,14.50
300578,333
300579,15.11
300580,334
300581,9.83
300582,335
300583,17.48
300584,336
300585,3.66
300586,337
300587,5.45
300588,338
300589,9.24
300590,339
300591,39.16
300592,340
300593,98.40
300594,341
300595,25.14
300596,342
300597,16.15
300598,343
300599,5.60
300600,344
300601,9.99
300602,345
300603,7.61
300604,346
300605,12.98
300606,347
300607,17.96
300608,348
300609,4.70
300610,349
300611,6.53
300612,350
300613,57.00
300615,351
300616,11.54
300617,352
300618,8.09
300619,353
300620,10.78
300621,354
300622,0.00
300623,355
300624,31.45
300625,356
300626,7.80
300627,357
300628,12.53
300629,358
300630,15.69
300631,359
300632,3.19
300633,360
300634,21.26
300635,361
300636,21.65
300637,362
300638,3.51
300639,363
300640,17.87
300641,364
300642,41.49
300643,365
300644,17.38
300645,366
300647,5.67
300648,367
300649,11.44
300650,368
300651,11.47
300652,369
300653,29.25
300654,370
300655,40.02
300656,371
300657,22.92
300658,372
300659,14.05
300660,373
300661,9.61
300662,374
300663,24.10
300664,375
300665,18.30
300666,376
300667,8.30
300668,377
300669,27.11
300670,378
300671,10.65
300672,379
300673,10.90
300674,380
300675,11.71
300676,381
300677,16.01
300678,382
300679,19.56
300680,383
300681,9.77
300682,384
300683,8.74
300684,385
300685,59.03
300686,386
300687,42.10
